DESIGNATION_FINAL,YLD,TWT,HD,PH,LODG,PROT,TKW,SRC,URN_First_Year,new_GenID
00-S-0211-29-4,4049.696702,79.42640067,24.37854191,72.64313173,1.915332264,14.23194437,35.04431504,PRIVATE,2007,00S0211-29-4
00-S-0292-14,3923.346706,79.79306734,27.63623421,67.92979839,1.405332264,14.59694437,36.70547637,PRIVATE,2007,00S0292-14
00H04*J3,3596.356,80.02570176,29.07101224,90.27018805,2.593539,14.40148381,32.36535647,AAFC-CA,2005,00H04J3
01-S-0236-6,3392.831024,79.84593271,23.58211951,66.30732,1.2481291,15.40243238,29.88495361,PRIVATE,2009,01S0236-6
01-S-0263-29,3899.29677,78.05903743,23.01178449,67.63121306,1.274408617,14.29120695,30.67543491,PRIVATE,2008,01S0263-29
01-S-0377-6,3695.351356,79.96769292,24.59576799,66.8486379,1.579382189,14.93134698,28.4635276,PRIVATE,2008,01S0377-6
01M88,3716.05512,79.67197667,28.09332783,70.40821079,2.030189262,13.75708729,27.81137005,PRIVATE,2002,01M88
01M96,3589.418211,82.11850781,23.93572718,79.24005534,1.876636308,14.85176047,32.46449091,PRIVATE,2002,01M96
01M97,3242.636625,81.1316928,22.58366271,78.50719416,2.052811754,14.9893753,30.97448799,PRIVATE,2002,01M97
01M98,3678.471919,78.47875162,23.869377,80.27190004,2.319478421,14.62270863,35.90782132,PRIVATE,2002,01M98
02-S-0091-9,3540.961451,78.49917313,25.80454033,67.19018934,0.567974578,14.43726599,25.85859852,PRIVATE,2010,02S0091-9
02-S-0170-3,3582.554785,80.0907543,23.8737711,68.76161791,1.125117435,14.40999326,30.80859852,PRIVATE,2010,02S0170-3
02-S-0178-1,3656.436579,80.39037715,25.73211951,68.61843111,1.181462433,14.29474007,28.98495361,PRIVATE,2009,02S0178-1
03-S-0119-12,3776.301451,80.55742097,25.19684802,72.43447505,1.596546007,14.70999326,34.75859852,PRIVATE,2010,03S0119-12
03-S-0253-7,3855.508118,79.95742097,25.15069418,69.49590362,1.425117435,14.25544781,26.78359852,PRIVATE,2010,SY-ROWYN
03-S-0352-22,3729.774785,78.29742097,25.42761725,71.01161791,1.525117435,14.52817508,28.35859852,PRIVATE,2010,03S0352-22
05-MSP-5,3555.295235,80.70920366,25.55827756,75.0239717,2.528576283,15.0335161,31.34349443,PRIVATE,2006,05MSP5
05-S-0157-4,3876.028372,80.44032899,24.90063659,74.96953036,1.718931768,14.92000228,32.69586182,PRIVATE,2013,05S0157-4
05-S-0242-6,3929.228372,78.23123808,25.12790931,71.00953036,1.718931768,14.72000228,30.59586182,PRIVATE,2013,05S0242-6
06-MSP-3,3812.136642,79.14709724,23.06068394,68.24171707,1.53625591,15.65268178,35.97113004,PRIVATE,2007,06MSP3
06-MSP18,4126.57677,77.53903743,27.46563064,72.46454639,2.434408617,14.14120695,27.90876825,PRIVATE,2008,LCS-ALBANY
06-S-0157-1,3900.82068,78.20396535,27.20063659,68.93953036,1.718931768,14.43111339,27.19586182,PRIVATE,2013,06S0157-1
06-S-0327-1,3921.466833,80.30396535,25.46427295,73.44953036,1.718931768,14.55333561,31.94586182,PRIVATE,2013,06S0327-1
06-S-0385-5,3997.359141,79.29487444,25.9097275,70.50953036,1.718931768,14.46444672,32.24586182,PRIVATE,2013,SY-VALDA
09-FSP-3,4065.334785,79.94408763,28.76607879,71.70876077,0.953688864,13.90999326,28.30859852,PRIVATE,2010,09FSP3
09-S-0306-24,3638.079135,79.08295,26.21375798,72.94877515,1.29193446,15.00783926,32.38271512,PRIVATE,2018,09S0306-24
09-S-0311-5,3886.395031,78.9835622,25.47725522,67.48122079,1.442335646,13.96770956,30.13899261,PRIVATE,2017,09S0311-5
10-S-0012-16,4037.380745,79.7335622,24.6629695,75.07407793,1.354835646,14.78589137,32.16399261,PRIVATE,2017,10S0012-16
10-S-0068-11,3613.912468,79.52045,26.25991182,67.82377515,0.975267793,14.89245465,32.25771512,PRIVATE,2018,10S0068-11
10-S-0068-2,3518.631458,79.55064114,25.84993289,68.60562958,1.042160999,15.37104673,29.87335386,PRIVATE,2017,10S0068-2
10-S-0093-20,3799.609317,79.34070505,25.09154093,66.33122079,1.467335646,14.70407319,30.23899261,PRIVATE,2017,10S0093-20
10-S-0158-15,3940.105802,80.6017,26.35991182,74.37377515,1.025267793,14.68476234,28.88271512,PRIVATE,2018,10S0158-15
10-S-0176-18,3869.405802,80.5767,25.2368349,69.96752515,1.358601127,14.60014696,31.78271512,PRIVATE,2018,10S0176-18
14X111_106_3,3716.126063,80.94267301,28.26968923,78.83170405,2.243087107,14.66059172,34.33802414,MN,2020,14X111-106-3
16BCS0001,3800.371573,79.84186682,23.25953815,74.1566451,2.196025933,14.56103834,29.52494543,PRIVATE,2016,16BCS0001
17BCS01,3855.241566,78.17375054,24.20582664,70.75904368,1.71135576,14.57466202,29.66517448,PRIVATE,2017,17BCS01
17BCS02,3813.299899,78.02375054,27.89154093,74.94237702,1.494689094,12.79688424,30.86517448,PRIVATE,2017,17BCS02
17BCS03,3974.374899,78.35708387,28.29154093,72.36737702,1.094689094,14.09688424,29.56517448,PRIVATE,2017,17BCS03
17BCS04,3850.766566,79.3154172,24.19154093,72.80071035,1.56135576,14.59688424,31.16517448,PRIVATE,2017,17BCS04
18BCS01,3839.879135,80.73295,22.86760413,77.51752515,1.808601127,14.66168542,29.68271512,PRIVATE,2018,18BCS01
18BCS02,3915.492468,79.93295,27.6368349,71.87377515,1.025267793,14.22322388,27.95771512,PRIVATE,2018,18BCS02
18BCS03,3914.139135,80.4767,28.1368349,70.25502515,1.325267793,14.96168542,26.95771512,PRIVATE,2018,18BCS03
18BCS04,4215.252468,78.8517,29.92914259,72.79252515,1.075267793,14.10783926,25.13271512,PRIVATE,2018,18BCS04
18BCS05,3946.365802,78.54545,28.79068105,72.72377515,3.475267793,13.92322388,28.88271512,PRIVATE,2018,18BCS05
21NP005734,3729.538164,78.98732479,24.77029772,71.89219666,1.514963744,14.13506633,29.12344593,PRIVATE,2022,21NP005734
21NP005739,3971.638164,78.93018194,26.93952849,68.77076809,1.348297077,14.46839967,30.82344593,PRIVATE,2022,21NP005739
21NP005744,3576.145306,78.65875337,25.48568234,67.02076809,1.164963744,14.276733,27.42344593,PRIVATE,2022,21NP005744
21NP005782,3782.859771,78.77823299,26.77736237,NA,2.475114408,14.49256594,29.33385628,PRIVATE,2023,21NP005782
22NP900043,3702.931589,78.35096026,27.10736237,NA,2.125114408,14.10256594,27.03385628,PRIVATE,2023,22NP900043
22NP900045,4009.213407,78.3964148,26.05736237,NA,2.050114408,14.17256594,31.73385628,PRIVATE,2023,22NP900045
22NP900047,4053.143407,77.57823299,26.92736237,NA,2.475114408,13.83256594,31.73385628,PRIVATE,2023,22NP900047
22NP900048,3988.469771,78.72368753,25.81736237,NA,2.125114408,14.18256594,28.43385628,PRIVATE,2023,22NP900048
2370,3345.232316,78.89062796,24.65622466,79.96044058,1.995323425,NA,34.50024729,PRIVATE,1989,2370
2375,3651.176798,79.77727298,25.34172847,79.1578048,3.117303613,14.48641062,34.19420998,ND,1988,2375
2385,3095.975006,77.32410179,23.93932762,80.03621185,1.595682016,NA,30.30632476,PRIVATE,1987,2385
8601AE3C,3003.467809,80.15642488,31.41873918,94.44286179,3.431467108,NA,NA,AAFC-CA,1993,8601AE3C
9023-FM04C,3700.827297,77.17173109,27.56368889,76.65232716,1.598910926,12.7161402,27.84560761,AAFC-CA,1996,9023-FM04C
96-S-0404-03,3759.027632,79.76021302,25.00675447,66.11929341,1.612260437,14.37175257,28.81358815,PRIVATE,2004,96S0404-03
960404-03,3828.616238,79.48762219,25.12253745,68.42569405,2.072992842,14.39083801,30.98411017,PRIVATE,2003,960404-03
96S0356-15,3655.189922,80.75817899,23.81003745,71.21516774,1.789659509,14.26595514,29.78411017,PRIVATE,2003,96S0356-15
97-S-0254-8-1,3711.689452,78.06503446,28.9616816,73.55388787,1.961148754,15.03114325,35.01828112,PRIVATE,2004,97S0254-8-1
98-S-0051-1,3721.352632,79.36021302,26.40675447,75.11929341,1.278927104,14.59175257,32.26358815,PRIVATE,2004,98S0051-1
98-S-0051-1-14,3890.310235,80.56920366,24.55827756,71.9739717,1.853576283,14.53260701,33.61849443,PRIVATE,2006,98S0051-1-14
98-S-0113-20,3650.838392,81.04105206,23.80638606,69.0344289,2.155333077,15.15233201,31.59680457,PRIVATE,2003,98S0113-20
98-S-0113-20-23,3611.235235,80.71920366,22.83605533,67.2739717,1.928576283,15.52987974,31.74349443,PRIVATE,2006,98S0113-20-23
98-S-0127-06,3912.939452,79.49940946,26.35468191,71.44972225,1.591294385,14.14495524,27.58948508,PRIVATE,2004,KUNTZ
98-S-0191-22-2,3234.765152,78.96165813,24.81131262,81.52034838,1.819245513,14.71262877,32.78552022,PRIVATE,2000,98S0191-22-2
98-S-0191-60-8,3525.025232,78.49911289,26.56804484,84.88033587,3.085291188,14.56325447,29.63897078,PRIVATE,2000,98S0191-60-8
98T311,3342.460123,77.59095204,27.99225017,79.45977087,1.72531153,14.59933931,31.020669,PRIVATE,1999,98T311
98T379,3534.739535,78.06595204,29.62558351,78.33059288,1.984746245,13.87215029,30.520669,PRIVATE,1999,98T379
99-S-0006-2,3652.063772,79.0698559,24.86088109,71.19681983,1.822110428,14.34875856,31.13202314,PRIVATE,2005,99S0006-2
99-S-0051-3-1,3791.163772,77.8823559,27.21802394,71.50931983,1.822110428,14.57603128,31.03202314,PRIVATE,2005,99S0051-3-1
99-S-0362-21,3648.595235,80.77420366,25.002722,66.6239717,1.853576283,14.72442519,33.21849443,PRIVATE,2006,99S0362-21
AAC_BRANDON,3703.056858,79.63383371,26.39543139,78.26299967,2.06688055,15.06416618,31.20252207,AAFC-CA,2020,AACBRANDON
AC_CORA,3438.067518,79.15487058,26.83518222,93.97572869,3.300831598,NA,27.8934872,AAFC-CA,1992,ACCORA
AC_MAJESTIC,3256.567534,78.5084073,28.03802073,87.11368426,2.59161885,15.51715248,29.55193123,AAFC-CA,1994,AC-MAJESTIC
AC_MINTO,2893.527594,76.35021867,28.90042208,94.62418494,3.456273496,NA,NA,AAFC-CA,1991,AC-MINTO
ADA,3549.924829,80.99407704,25.19225017,73.23670477,1.944272134,14.99012285,34.770669,MN,1999,ADA
ADVANCE,3654.608118,80.46408763,25.98915572,74.52876077,1.596546007,14.17362963,30.53359852,SD,2010,ADVANCE
ALEX,3303.985829,79.44849832,27.2226632,92.61058667,3.486210757,NA,30.64354037,ND,1977,ALEX
ALSEN,3432.002153,80.31399595,26.17318772,75.8623,1.629315941,15.30329075,31.75581778,ND,1999,ALSEN
AMIDON,3577.677627,78.29223351,26.39712812,90.70011499,2.755058226,NA,31.74235483,ND,1985,AMIDON
ANGUS,3172.098202,79.13172338,27.50837979,78.13707061,2.442989334,NA,32.34802453,MN,1972,ANGUS
AP_GUNSMOKECL2,3826.888656,79.45788869,25.9358944,72.43730191,1.15879805,14.79909023,33.52697994,PRIVATE,2019,APGUNSMOKECL2
AP_SMITH,3786.610535,79.10070509,27.26170535,71.26776022,1.363515682,14.74454667,30.87305645,PRIVATE,2020,APSMITH
ASCEND-SD,3856.50524,78.61952171,27.14521229,76.70699683,1.814081438,14.66059172,27.8553971,SD,2020,ASCEND-SD
B91-0228,3359.610201,80.61852192,26.68132462,69.82541491,1.430578817,14.95174931,37.20654737,PRIVATE,1997,B91-0228
BB34_CK_1_B_17,3716.666838,78.707333,26.81473318,84.95768338,2.425084317,14.8726227,33.51828695,AAFC-CA,2009,BB34-CK-1-B-17
BD94BD0248,3619.126838,77.787333,27.42242549,87.53101671,1.925084317,14.41807724,33.51828695,AAFC-CA,2009,BD94BD0248
BIGG-RED,3500.478884,82.59599613,26.79353961,83.19189272,2.599062513,14.12435767,31.09460195,PRIVATE,2001,BIGG-RED
BIO_10200,4727.190093,79.92290339,29.88467711,77.60935485,1.072245615,12.75168355,30.32642413,PRIVATE,2014,BIO-10200
BIO_10550,4614.158297,77.45355383,28.44146121,70.05929037,0.028118912,13.56240314,27.97642413,PRIVATE,2014,BIO-10550
BIO_10588,4104.254976,75.35397811,29.62147584,59.51114099,0.111374627,12.70655071,28.40142413,PRIVATE,2014,BIO-10588
BLADE,3600.256642,81.62709724,27.36837625,77.9750504,1.81625591,15.41268178,32.09613004,PRIVATE,2007,BLADE
BOLLES,3815.374832,79.1893977,27.98004701,77.11369518,NA,15.81075698,NA,MN,2011,BOLLES
BONANZA,3005.227497,76.05654093,25.79422405,72.33624298,2.643365645,NA,30.49772913,PRIVATE,1970,BONANZA
BOOST,3635.941361,78.75590392,27.95226179,79.26846682,2.02086146,14.98931999,32.37277149,SD,2013,BOOST
BORAH,3098.503818,75.07238711,24.80253824,72.7154788,2.64618407,NA,NA,ID,1975,BORAH
BOUNTY_208,3052.78965,77.88682398,23.33590549,67.99394227,3.129778301,NA,29.94772913,PRIVATE,1971,BOUNTY_208
