"year","location","loc_code","env_code","geno","isCheck","organization","SW30","INC","SEV","DIS","VSK","DON","HD","mTWT"
"1992","St. Paul","STP","STP_92","MARQUIS",TRUE,NA,NA,43.3,19.3,10.3,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","CHRIS",TRUE,NA,NA,43.3,21,9.4,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","ERA",TRUE,NA,NA,84.7,26,22.2,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","STOA",TRUE,NA,NA,87,29,25.4,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","BUTTE86",TRUE,NA,NA,17,34,5.8,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","SD3056",FALSE,NA,NA,38,26.3,10.7,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","SD8872",FALSE,NA,NA,55.3,31,16.4,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","SD8973",FALSE,NA,NA,42,18.3,7.9,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","SD8074",FALSE,NA,NA,17.3,21.7,4.9,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","SD8670",FALSE,NA,NA,25,16,3.9,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","MN88334",FALSE,NA,NA,52.7,26,13.5,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","MN88076",FALSE,NA,NA,75,23.7,19.4,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","MN88415",FALSE,NA,NA,37,22,8,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","MN89028",FALSE,NA,NA,24.3,15,3.7,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","MN89408",FALSE,NA,NA,69.3,20.7,14.4,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","KULM",FALSE,NA,NA,29.3,14.7,4,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","TRENTON",FALSE,NA,NA,21.7,13,2.9,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","ND675",FALSE,NA,NA,27.7,14,4.1,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","ND681",FALSE,NA,NA,24,10.3,2.5,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","ND682",FALSE,NA,NA,48,15.3,7.9,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","XW398A4",FALSE,NA,NA,51.3,19.7,10.5,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","XW397A3",FALSE,NA,NA,71,24,16.9,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","N87-0306",FALSE,NA,NA,73.3,26,20,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","N88-0022",FALSE,NA,NA,83,25.3,21.3,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","N88-3136",FALSE,NA,NA,59.3,23,14,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","N88-3934",FALSE,NA,NA,89.3,26.3,23.7,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","N86-0348",FALSE,NA,NA,74.7,25,20.5,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","MT8849",FALSE,NA,NA,93,40.3,37.5,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","ACBARRIE",FALSE,NA,NA,45,21.7,10.9,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","BW156",FALSE,NA,NA,35.3,15,5.4,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","ACCORA",FALSE,NA,NA,24,14,3.3,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","PH986-61",FALSE,NA,NA,32,18.7,6.5,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","TR983-239",FALSE,NA,NA,69.3,22.7,16.1,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","WHEATON",TRUE,NA,NA,70.7,21.7,17.2,NA,NA,NA,NA
"1992","St. Paul","STP","STP_92","SUMAI3",FALSE,NA,NA,1.3,4.3,0.1,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","MARQUIS",TRUE,NA,NA,36.1,38,96,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","CHRIS",TRUE,NA,NA,10.8,20,56,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","ERA",TRUE,NA,NA,26.7,28,97,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","STOA",TRUE,NA,NA,9.7,14,69,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","BUTTE86",TRUE,NA,NA,6.8,13,55,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","SD8072",FALSE,NA,NA,10.1,15,68,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","RUSS",FALSE,NA,NA,12.4,18,65,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","SD8070",FALSE,NA,NA,9.3,14,66,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","SD0005",FALSE,NA,NA,13.8,20,67,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","OXEN",FALSE,NA,NA,15,17,87,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","MN89103",FALSE,NA,NA,8.2,11,73,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","MN90071",FALSE,NA,NA,20.6,21,97,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","MN90114",FALSE,NA,NA,21.4,21,100,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","MN90253",FALSE,NA,NA,26,26,97,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","VERDE",TRUE,NA,NA,13.4,18,76,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","SBE0444",FALSE,NA,NA,22.9,24,94,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","KULM",FALSE,NA,NA,10,15,59,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","TRENTON",FALSE,NA,NA,10.6,15,71,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","ND674",FALSE,NA,NA,12.9,15,87,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","ERNEST",FALSE,NA,NA,21.6,26,82,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","KEENE",TRUE,NA,NA,10.4,16,67,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","XW398A4",FALSE,NA,NA,48,48,100,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","N86-0348",FALSE,NA,NA,28.4,29,99,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","N90-0666",FALSE,NA,NA,8,11,74,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","N90-0671",FALSE,NA,NA,14,18,79,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","N90-0700",FALSE,NA,NA,18.4,21,85,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","N88-3140",FALSE,NA,NA,22.5,23,98,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","MT8849",FALSE,NA,NA,35.1,38,92,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","ACCORA",FALSE,NA,NA,13,18,69,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","8601AE3C",FALSE,NA,NA,35.3,36,99,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","BZ988-351",FALSE,NA,NA,18.1,22,78,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","BZ984-334",FALSE,NA,NA,30,30,100,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","WHEATON",TRUE,NA,NA,18,20,93,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","CHRIS",TRUE,NA,NA,11.1,17,62,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","MARSHALL",FALSE,NA,NA,9.7,12,81,NA,NA,NA,NA
"1993","St. Paul","STP","STP_93","SUMAI3",FALSE,NA,NA,0.2,6,2,NA,NA,NA,NA
"1994","St. Paul","STP","STP_94","MARQUIS",TRUE,NA,NA,100,34,34,36,NA,NA,NA
"1994","St. Paul","STP","STP_94","CHRIS",TRUE,NA,NA,89,25,23,40,NA,NA,NA
"1994","St. Paul","STP","STP_94","ERA",TRUE,NA,NA,77,14,11,29,NA,NA,NA
"1994","St. Paul","STP","STP_94","STOA",TRUE,NA,NA,9,10,1,47,NA,NA,NA
"1994","St. Paul","STP","STP_94","BUTTE86",TRUE,NA,NA,18,10,2,28,NA,NA,NA
"1994","St. Paul","STP","STP_94","SD0007",FALSE,NA,NA,32,17,6,26,NA,NA,NA
"1994","St. Paul","STP","STP_94","OXEN",FALSE,NA,NA,71,18,13,38,NA,NA,NA
"1994","St. Paul","STP","STP_94","SD0014",FALSE,NA,NA,65,18,12,36,NA,NA,NA
"1994","St. Paul","STP","STP_94","SD3151",FALSE,NA,NA,10,8,1,28,NA,NA,NA
"1994","St. Paul","STP","STP_94","FORGE",FALSE,NA,NA,10,9,1,29,NA,NA,NA
"1994","St. Paul","STP","STP_94","VERDE",TRUE,NA,NA,21,13,3,26,NA,NA,NA
"1994","St. Paul","STP","STP_94","MN90138",FALSE,NA,NA,70,14,11,47,NA,NA,NA
"1994","St. Paul","STP","STP_94","MN91227",FALSE,NA,NA,42,12,5,35,NA,NA,NA
"1994","St. Paul","STP","STP_94","MN91309",FALSE,NA,NA,29,9,3,22,NA,NA,NA
