"line"	"organization"	"isCheck"	"all_years"	"n_years"	"year"	"location"	"loc_code"	"env_code"	"INC"	"DIS"	"SEV"	"VSK"	"DON"	"HD"	"TWT"	"30SSW"	"MTWT"	"3ADON"	"TKW"	"FHB_19"
"RL4927"	"AAFC"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	95	34	35.6	42.5	NA	NA	NA	NA	NA	NA	NA	NA
"N99-0010"	"AgriPro"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	97.5	36	36.6	37.5	NA	NA	NA	NA	NA	NA	NA	NA
"N99-0011"	"AgriPro"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	100	31	30.5	25	NA	NA	NA	NA	NA	NA	NA	NA
"N99-0085"	"AgriPro"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	100	37	36.8	40	NA	NA	NA	NA	NA	NA	NA	NA
"N99-0157"	"AgriPro"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	95	22.5	23.3	20	NA	NA	NA	NA	NA	NA	NA	NA
"D95565"	"NDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	100	43	42.8	60	NA	NA	NA	NA	NA	NA	NA	NA
"D96596"	"NDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	100	39.5	39.5	90	NA	NA	NA	NA	NA	NA	NA	NA
"D96622"	"NDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	97.5	30	30.6	57.5	NA	NA	NA	NA	NA	NA	NA	NA
"ND2955"	"NDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	90	20.5	22.7	20	NA	NA	NA	NA	NA	NA	NA	NA
"ND3006"	"NDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	87.5	27.5	30.9	25	NA	NA	NA	NA	NA	NA	NA	NA
"ND712-12"	"NDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	85	23.5	27.1	35	NA	NA	NA	NA	NA	NA	NA	NA
"CI14371"	"SDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	92.5	24	25.8	30	NA	NA	NA	NA	NA	NA	NA	NA
"PI182561"	"SDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	97.5	34	34.5	22.5	NA	NA	NA	NA	NA	NA	NA	NA
"PI382161"	"SDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	60	7.5	12	20	NA	NA	NA	NA	NA	NA	NA	NA
"PI382167"	"SDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	97.5	28	28.1	7.5	NA	NA	NA	NA	NA	NA	NA	NA
"PI81791"	"SDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	97.5	29.5	29.7	10	NA	NA	NA	NA	NA	NA	NA	NA
"SD3524"	"SDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	90	26	28.3	17.5	NA	NA	NA	NA	NA	NA	NA	NA
"SD3561"	"SDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	95	36.5	37.9	40	NA	NA	NA	NA	NA	NA	NA	NA
"SD3562"	"SDSU"	FALSE	"2000"	1	"2000"	"Brookings"	"BRK"	"BRK_00"	92.5	22	23.2	27.5	NA	NA	NA	NA	NA	NA	NA	NA
