"line"	"pedigree"	"organization"	"first_year"	"isCheck"	"all_years"	"n_years"
"00EPWB-27"	"HY617BSR//SD8070/HY617BSR"	"AAFC"	2001	FALSE	"2001"	1
"00S0063-1"	"KNUDSON/3/N94-0157//SUMAI3/DALEN"	"AgriPro"	2005	FALSE	"2005"	1
"00S0240-3"	"OXEN/3/SUMAI3/DALEN//N96-0160"	"AgriPro"	2005	FALSE	"2005"	1
"00S0244-23"	"N96-0001ES/3/SUMAI3/DALEN//HAMER"	"AgriPro"	2006	FALSE	"2006"	1
"00S0249-9"	"KNUDSON/ALSEN"	"AgriPro"	2005	FALSE	"2005"	1
"00S0251-6"	"KNUDSON/4/N97-0214/3/N93-0338//SUMAI3/DALEN"	"AgriPro"	2005	FALSE	"2005, 2006"	2
"00S0327-18"	"LARS/N93-0383/3/CHINASCAB#23/N94-0241"	"AgriPro"	2006	FALSE	"2006"	1
"01S0094-65"	"FREYR/N98-0336"	"AgriPro"	2009	FALSE	"2009"	1
"01S0099-8"	"N99-0253/97S0205-01"	"AgriPro"	2007	FALSE	"2007"	1
"01S0236-6"	"HANNA/98S0086-13"	"AgriPro"	2007	FALSE	"2007"	1
"01S0335-4-3"	"98S0047-03//CHISCAB#140/N90-0690"	"AgriPro"	2008	FALSE	"2008"	1
"01S0377-6"	"FREYR/98S0167-09"	"AgriPro"	2007	FALSE	"2007"	1
"01S0380-18"	"N99-0398ES/4/N96-0104/3/N93-0339//SUMAI3/DALEN"	"AgriPro"	2006	FALSE	"2006"	1
"02S0066-13"	"N96-0001ES/3/KNUDSON//FHB5227/LARS"	"AgriPro"	2008	FALSE	"2008"	1
"02S0091-9"	"98S0031-02/98S0018-06"	"AgriPro"	2009	FALSE	"2009"	1
"02S0178-1"	"KNUDSON/4/NORLANDER/3/N92-0098//SUMAI3/DALEN"	"AgriPro"	2008	FALSE	"2008"	1
"02S0208-22"	"N92-0176//FHB5227/LARS/3/KNUDSON"	"AgriPro"	2008	FALSE	"2008"	1
"02S0227-6"	"99S0155-12/98S0086-07"	"AgriPro"	2007	FALSE	"2007"	1
"03CBWA3-15"	"MONO3B/FHB37"	"AAFC"	2004	FALSE	"2004"	1
"03CBWC-21"	"93B42-V2A/BW252"	"AAFC"	2004	FALSE	"2004"	1
"03S0119-12"	"99S0350-8/N98-0286"	"AgriPro"	2009	FALSE	"2009"	1
"03S0211-3"	"NORPRO/99S0051-3-1"	"Syngenta"	2010	FALSE	"2010"	1
"03S0352-22"	"00S0315-11/KNUDSON"	"AgriPro"	2009	FALSE	"2009"	1
"04S0196-1"	"KELBY/4/OXEN/3/SUMAI3/DALEN//N96-0160"	"Syngenta"	2010	FALSE	"2010"	1
"04S0202-1"	"KUNTZ//KNUDSON/ALSEN"	"Syngenta"	2010	FALSE	"2010"	1
"04S0209-4"	"HJ98//SUMAI3/DALEN/3/FREYR"	"Syngenta"	2010	FALSE	"2010"	1
"04S0301-3"	"KNUDSON/KELBY//FREYR"	"Syngenta"	2010	FALSE	"2010"	1
"04V51A0498"	"BW264//BW315/ND744"	"AAFC"	2010	FALSE	"2010"	1
"05MSP5"	"RUBI/PROINTAREAL"	"Trigen"	2006	FALSE	"2006"	1
"06MSP3"	"BRS177/PROINTAGRANAR"	"Trigen"	2007	FALSE	"2007"	1
"07S0018-2"	"ALSEN//KNUDSON/BW297/3/02S0239-1"	"Syngenta"	2013	FALSE	"2013"	1
"07S0027-3"	"HJ98/BC97ROM-52//FREYR/3/01S0236-6"	"Syngenta"	2013	FALSE	"2013"	1
"07S0068-11"	"MN01180/KNUDSON"	"Syngenta"	2015	FALSE	"2015"	1
"07S0184-11"	"FALLER/BRENNAN"	"Syngenta"	2013	FALSE	"2013"	1
"07S0203-9"	"SYSOREN/02S0178-1"	"Syngenta"	2013	FALSE	"2013"	1
"07S0208-27"	"02S0066-13/BRENNAN"	"Syngenta"	2014	FALSE	"2014"	1
"07S0209-29"	"02S0066-13/SYSOREN"	"Syngenta"	2013	FALSE	"2013"	1
"07S0211-23"	"02S0066-6/02S0214-15"	"Syngenta"	2014	FALSE	"2014"	1
"07S0274-2"	"ARG31/RB07"	"Syngenta"	2014	FALSE	"2014"	1
"08S0036-19"	"FREYR/98S0167-09//02S0237-33"	"Syngenta"	2014	FALSE	"2014"	1
"08S0094-9"	"00S0221-9W/ALSEN/SYSOREN"	"Syngenta"	2014	FALSE	"2014"	1
"08S0303-16"	"N97-0329ES/SD3546)//FALLER"	"Syngenta"	2015	FALSE	"2015"	1
"08S0339-23"	"01S0107-7/01S0238-7W//SYINGMAR"	"Syngenta"	2015	FALSE	"2015"	1
"08S0341-15"	"01S0107-13/01S0238-5W//00S0287-16/KNUDSON"	"Syngenta"	2015	FALSE	"2015"	1
"08S0347-23"	"01S0247-17/NORPRO//01S0107-7/01S0238-7W"	"Syngenta"	2015	FALSE	"2015"	1
"09S0018-2"	"BREAKER/KELBY"	"Syngenta"	2016	FALSE	"2016"	1
"09S0054-5"	"03S0352-22/01S0236-6"	"Syngenta"	2016	FALSE	"2016"	1
"09S0055-1"	"03S0352-22/03S0032-5"	"Syngenta"	2016	FALSE	"2016"	1
"09S0084-14"	"04S0284-4/FALLER"	"Syngenta"	2016	FALSE	"2016"	1
"09S0118-10"	"SD4059/SYSOREN"	"Syngenta"	2016	FALSE	"2016"	1
"10EXP13-16"	"ND735/STEELE-ND"	"NDSU"	2011	FALSE	"2011"	1
"10EXP13-24"	"KEENE/3/GRANDIN2//COTEAU/LNW(TT-2)/4/ND708/5/ND711/6/ND756"	"NDSU"	2011	FALSE	"2011"	1
"10EXP13-44"	"WALWORTH/ND721"	"NDSU"	2011	FALSE	"2011"	1
"10EXP13-87"	"FRONTANA/W9207//ALSEN/3/ND740"	"NDSU"	2011	FALSE	"2011"	1
"10EXPSW13-19"	NA	"NDSU"	2011	FALSE	"2011"	1
"10EXPSW13-28"	NA	"NDSU"	2011	FALSE	"2011"	1
"10EXPSW13-9"	NA	"NDSU"	2011	FALSE	"2011"	1
"11EXP13-105"	"ND744/ND752"	"NDSU"	2012	FALSE	"2012"	1
"11EXP13-107"	"GOLDFIELD/2ALSEN//STEELE-ND"	"NDSU"	2012	FALSE	"2012"	1
"11EXP13-43"	"BANTON/FALLER"	"NDSU"	2012	FALSE	"2012"	1
"11EXP13-65"	"FALLER/ALSEN"	"NDSU"	2012	FALSE	"2012"	1
"11EXP13-78"	"GUADALUPE/GLENN//ALSEN/3/ND751"	"NDSU"	2012	FALSE	"2012"	1
"12-14-147"	"VELVA/BIGGRED"	"NDSU"	2013	FALSE	"2013, 2014"	2
"12-14-158"	"ARSENAL//KORMORRAN/ROHAU72-839/3/PARSHALL/4/ND706"	"NDSU"	2013	FALSE	"2013, 2014"	2
"12-14-172"	"TOKAI66/PARSHALL//ALSEN"	"NDSU"	2013	FALSE	"2013, 2014"	2
"12-14-81"	"PI157593/PARSHALL//ALSEN"	"NDSU"	2013	FALSE	"2013, 2014"	2
"12-14-97"	"FRONTANA/W9207//2ALSEN/3/2ND752"	"NDSU"	2013	FALSE	"2013, 2014"	2
"14-13-106"	"ND744/ALSEN"	"NDSU"	2015	FALSE	"2015"	1
"14-13-135"	"MN00261-4/ALSEN"	"NDSU"	2015	FALSE	"2015"	1
"14-13-14"	NA	"NDSU"	2015	FALSE	"2015"	1
"14-13-21"	"9950146ES/GLENN"	"NDSU"	2015	FALSE	"2015"	1
"14-13-97"	NA	"NDSU"	2015	FALSE	"2015"	1
"2375"	NA	"NDSU"	1995	TRUE	"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018"	24
"2398"	NA	NA	1995	FALSE	"1995, 2017, 2023"	3
"3X1-134FA0067"	"HC736/98B69-R28//2PRODIGY/3/HC374/398B69-L47"	"AAFC"	2009	FALSE	"2009"	1
"9229G-003B"	NA	"CAN"	2001	FALSE	"2001"	1
"93B42-AW3C"	"ACDOMAIN2/SUMA13"	"AAFC"	1999	FALSE	"1999"	1
"93B42-V2A"	NA	"AAFC"	1998	FALSE	"1998, 1999"	2
"93B43-AH1A"	"ACCORA2/NING7840"	"AAFC"	1998	FALSE	"1998"	1
"93FBB21"	"NING8331/BIGGAR"	"AAFC"	1998	FALSE	"1998"	1
"93FHB_12"	NA	"AAFC"	1996	FALSE	"1996"	1
"93FHB_21"	NA	"AAFC"	1995	FALSE	"1995, 1996"	2
"93FHB_37"	NA	"AAFC"	1995	FALSE	"1995"	1
"94B15-D9D5"	NA	NA	2000	FALSE	"2000"	1
"94B16-S14A5"	NA	NA	2000	FALSE	"2000"	1
"94FHB_28"	NA	"AAFC"	1995	FALSE	"1995"	1
"94FHB_34"	NA	"AAFC"	1996	FALSE	"1996"	1
"94FHB_55"	NA	"AAFC"	1996	FALSE	"1996"	1
"94FHB_9"	NA	"AAFC"	1995	FALSE	"1995"	1
"95NPY1253"	"SUMAI3/DALEN"	"AgriPro"	1997	FALSE	"1997"	1
"95NPY1255"	"SUMAI3/DALEN"	"AgriPro"	1997	FALSE	"1997"	1
"95NPY1350"	"SUMAI3/DALEN"	"AgriPro"	1997	FALSE	"1997"	1
"96B32-AN3C"	"RL4802//(96MHN5295-1)BW1742/CLARK"	"AAFC"	2003	FALSE	"2003"	1
"96KEY30"	"A16//A/BGBSR/3/SCEPTRE/NING8331F7"	"AAFC"	1997	FALSE	"1997"	1
"96KEY31"	"A16//A/BGBSR/3/SCEPTRE/NING8331F7"	"AAFC"	1997	FALSE	"1997"	1
"96KEY37"	"89W4L9/GUARD/3/AI6//A4/BGR(94W87)"	"AAFC"	1997	FALSE	"1997"	1
"96KEY9"	"ALPHA/HY617"	"AAFC"	1997	FALSE	"1997"	1
"96NPY1329"	"NING8331/BIGGAR(FHB5222)/N91-0007"	"AgriPro"	1998	FALSE	"1998"	1
"96NPY1370"	"NING8331/BIGGAR(FBB5222)//N92-0357"	"AgriPro"	1998	FALSE	"1998"	1
"96NPY1375"	"NING833L/BIGGAR(FBB5222)//SHARP"	"AgriPro"	1998	FALSE	"1998"	1
"96NPY1439"	"HY611/NING8331(FBB5227)//LARS"	"AgriPro"	1998	FALSE	"1998"	1
"96NPY1506"	"HY611/NING8331(FBB5227)//N93-3026"	"AgriPro"	1998	FALSE	"1998"	1
"96S0594-1"	"B92-0540/CHINASCAB#15"	"AgriPro"	2001	FALSE	"2001"	1
"96S0594-2"	"B92-0540/CHINASCAB#15"	"AgriPro"	2001	FALSE	"2001"	1
"97EPWB12"	"HY16//BW901//HRALPHA"	"AAFC"	1998	FALSE	"1998"	1
"97EPWB16"	"A16//A4/BGBSR/3/SCEPTRE/NING8331"	"AAFC"	1998	FALSE	"1998"	1
"97NPY3209"	"HAMER//SUMA13/DALEN"	"AgriPro"	1999	FALSE	"1999"	1
"97NPY3263"	"N92-0098//SUMAI3/DALEN"	"AgriPro"	1999	FALSE	"1999"	1
"97NPY3294"	"N92-0176//SUMAI3/DALEN"	"AgriPro"	1999	FALSE	"1999"	1
"97NPY3445"	"N92-0338//SUMAI3/DALEN"	"AgriPro"	1999	FALSE	"1999"	1
"97NPY3449"	"N92-0338//SUMAI3/DALEN"	"AgriPro"	1999	FALSE	"1999"	1
"97S0121-2"	"N93-0134//SUMAI3/DALEN"	"AgriPro"	2001	FALSE	"2001"	1
"97S0205-1"	"SUMAI3/DALEN//HAMER"	"AgriPro"	2001	FALSE	"2001"	1
"98B08A59"	"93B42-V2A/BW252"	"AAFC"	2002	FALSE	"2002"	1
"98B08B111"	"93B42-V2A/BW252"	"AAFC"	2002	FALSE	"2002"	1
"98B19N22"	"93B42-V2A/2BW252"	"AAFC"	2002	FALSE	"2002"	1
"98B19S87"	"93B42-V2A/2BW252"	"AAFC"	2002	FALSE	"2002"	1
"98B19T99"	"93B42-V2A/2BW252"	"AAFC"	2002	FALSE	"2002"	1
"98EPWBFHB43"	"PR2375/ACFOREMOST"	"AAFC"	1999	FALSE	"1999"	1
"98S0018-06"	"NORLANDER/3/N92-0098//SUMAI3/DALEN"	"AgriPro"	2002	FALSE	"2002"	1
"98S0083-12"	"N96-0123/3/N93-0323//SUMAI3/DALEN"	"AgriPro"	2003	FALSE	"2003"	1
"98S0084-11"	"N96-0124/3/N93-0161//SUMAI33/DALEN"	"AgriPro"	2002	FALSE	"2002"	1
"98S0113-20"	"N97-0117/3/N92-0098//SUMAI3/DALEN"	"AgriPro"	2003	FALSE	"2003"	1
"98S0146-01"	"N92-0098//SUMAI3/DALEN/3/RUSS/W95-0188"	"AgriPro"	2002	FALSE	"2002"	1
"98S0311-17"	"N92-0176/3/HY611/NING8331(FHB5227)//SUMAI3/DALEN"	"AgriPro"	2003	FALSE	"2003"	1
"98S3015-01"	"HY444/3/N92-0098//SUMAI3/DALEN"	"AgriPro"	2002	FALSE	"2002"	1
"99S0024-14"	"N96-0160/3/N93-0323//SUMAI3/DALEN"	"AgriPro"	2003	FALSE	"2003"	1
"99S0030-3-1"	"N97-0329ES/3/N93-0323//SUMAI3/DALEN"	"AgriPro"	2003	FALSE	"2003"	1
"99S0146ES"	"HJ98//SUMAI3/DALEN"	"AgriPro"	2004	FALSE	"2004"	1
"99S0178-7"	"OXEN//SUMAI3/DALEN"	"AgriPro"	2004	FALSE	"2004"	1
"99S0196-3"	"N97-0055//SUMAI3/DALEN"	"AgriPro"	2004	FALSE	"2004"	1
"99S0347-2"	"N96-0055/3/N94-0157//SUMAI3/DALEN"	"AgriPro"	2004	FALSE	"2004"	1
"99T412"	"PROBRAND822/NORM-2M"	"Trigen"	1999	FALSE	"1999"	1
"99T413"	"PROBRAND822/NORM-12M"	"Trigen"	1999	FALSE	"1999"	1
"99TSP115"	"PROBRAND822/NORM-15M"	"Trigen"	1999	FALSE	"1999"	1
"99TSP119"	"SWM169KA/KLCBR//HL225B"	"Trigen"	1999	FALSE	"1999"	1
"AAC_HODGE"	NA	"AAFC"	2024	FALSE	"2024"	1
"AAC_SPIKE"	NA	"AAFC"	2024	FALSE	"2024"	1
"AAC_WESTKING"	NA	"AAFC"	2024	FALSE	"2024"	1
"AC-MAJESTIC"	NA	"AAFC"	1996	FALSE	"1996"	1
"ACBARRIE"	"NEEPAWA/COLUMBUS//BW90"	"AAFC"	1999	FALSE	"1999"	1
"ACCORA"	NA	"AAFC"	1997	FALSE	"1997"	1
"ACDOMIAN"	NA	"AAFC"	1995	FALSE	"1995"	1
"AKFASTRO"	NA	NA	2023	FALSE	"2023"	1
"ALBIDUM43"	"ALBIDUM357/LUTESCENS91//LUTESCENS311/LUTESCENS91"	"Russia"	2003	FALSE	"2003"	1
"ALSEN"	NA	"NDSU"	2008	TRUE	"2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"	16
"ARTEMOWSKA"	NA	"Bulgaria"	2003	FALSE	"2003"	1
"ATA81"	NA	"AAFC"	1996	FALSE	"1996, 1997"	2
"B90-0270"	NA	"AgriPro"	1996	FALSE	"1996"	1
"B92-0058"	"VTI/K450082//BJY"	"AgriPro"	1995	FALSE	"1995"	1
"BA04-CH-1"	"BW267/98B19H257"	"AAFC"	2007	FALSE	"2007"	1
"BA07-DE-19"	"BW267/98B19N22"	"AAFC"	2007	FALSE	"2007"	1
"BACUP"	NA	"UMN"	1996	TRUE	"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"	29
"BD76AJ0199"	"98B25-DF2B04/ND744//00H04J3"	"AAFC"	2009	FALSE	"2009"	1
"BIGG-RED"	NA	"WestBred"	2001	FALSE	"2001, 2002"	2
"BIO-08228"	"VAQ/ABA"	"Limagrain"	2014	FALSE	"2014"	1
"BLADE"	NA	"WestBred"	2006	FALSE	"2006, 2007"	2
"BREAKER"	"ALSEN/KNUDSON"	"WestBred"	2007	FALSE	"2007"	1
"BRICK"	"ND2897/SD3219//SD3414"	"SDSU"	2007	FALSE	"2007, 2010, 2011, 2012, 2013"	5
"BRIGGS"	"BW114/BERGEN//SD3097"	"SDSU"	1998	FALSE	"1998"	1
"BROGAN"	"GRANITE/BRIGGS"	"WestBred"	2008	FALSE	"2008"	1
"BUCKAUSTRAL"	"SOLA50//QUIVIRA/GUATRACHE/3/MASSAUXNO.1/BUCKQUEQUEN2-2-10"	"Argentina"	2003	FALSE	"2003"	1
"BUTTE86"	NA	NA	1995	FALSE	"1995"	1
"BW308"	"ACCORA2/93FHB#37"	"AAFC"	2001	FALSE	"2001"	1
"BW310"	"RL4802/ACMAJESTIC"	"AAFC"	2001	FALSE	"2001"	1
"BW311"	"RL4802/ACMAJESTIC"	"AAFC"	2001	FALSE	"2001"	1
"BW312"	"RL4802/ACDOMAIN"	"AAFC"	2001	FALSE	"2001"	1
"BW429"	"MCKENZIE/ALSEN"	"AAFC"	2011	FALSE	"2011, 2012"	2
"BW464"	"BW342/98B25-AS3C02"	"AAFC"	2012	FALSE	"2012"	1
"BW483"	"99B60-EJ2G/KANE"	"AAFC"	2015	FALSE	"2015"	1
"BW484"	"BW342/98B25-AS3C02"	"AAFC"	2012	FALSE	"2012"	1
"BW485"	"D1125/ALSEN//BW346/3/BW370/99B60-EJ26"	"AAFC"	2015	FALSE	"2015"	1
"BW499"	"WASKADA/BW361"	"AAFC"	2015	FALSE	"2015"	1
"BW5095"	NA	"AAFC"	2024	FALSE	"2024"	1
"BW871"	"ALSEN/ACELSA//ACBARRIE"	"AAFC"	2009	FALSE	"2009, 2010"	2
"BW872"	"9229G-003B/ACBARRIE//ACELSA"	"AAFC"	2007	FALSE	"2007"	1
"BW928"	"BW799/ND721//ALSEN"	"AAFC"	2010	FALSE	"2010, 2011, 2012"	3
"BW961"	"ALSEN/WASKADA"	"AAFC"	2015	FALSE	"2015"	1
"CA-03-937"	"BEN//MELITA///SEPTRE/4/898-787/5/SEPTRE"	"WestBred"	2004	FALSE	"2004"	1
"CA-801-706"	"MOUNTRAIL/FA-898-785"	"WestBred"	2003	FALSE	"2003"	1
"CA-801-715"	"BELZER/FA-898-785"	"WestBred"	2003	FALSE	"2003"	1
"CA-801-717"	NA	"WestBred"	2002	FALSE	"2002, 2005"	2
"CA-801-721"	"BELZER/FA-898-785"	"WestBred"	2003	FALSE	"2003"	1
"CA-801-748"	"88303//RUGBY/SCABRES.POP.///087250"	"WestBred"	2002	FALSE	"2002"	1
"CA-804-744"	"TA/BEN//D88303///D88303/4/LAKER"	"WestBred"	2005	FALSE	"2005"	1
"CA-804-745"	"MOUNTRAIL/CA-801-748"	"WestBred"	2005	FALSE	"2005"	1
"CA-804-746"	"PRIMODORO/LEBSOCK"	"WestBred"	2005	FALSE	"2005"	1
"CA-901-590W"	"LARS/WHITESHARPSHOOTER"	"WestBred"	2003	FALSE	"2003"	1
"CA-901-712"	"E/PRESS/IMPERVO"	"WestBred"	2002	FALSE	"2002"	1
"CA-904-742"	"ALSEN/KEYSTONE"	"WestBred"	2005	FALSE	"2005"	1
"CA-904-743"	"GRANITE/KEYSTONE"	"WestBred"	2005	FALSE	"2005"	1
"CA-905-753"	"BARRIE/BIGGRED"	"WestBred"	2006	FALSE	"2006"	1
"CA-905-754"	"BARRIE/ALSEN"	"WestBred"	2006	FALSE	"2006"	1
"CA-905-755"	"BARRIE/ALSEN"	"WestBred"	2006	FALSE	"2006"	1
"CA-907-824"	"(ALSEN/KEYSTONE)/(GRANITE/KNUDSON)"	"WestBred"	2008	FALSE	"2008"	1
"CA-907-830"	"TROOPER/(GRANITE/TOKAI66)"	"WestBred"	2008	FALSE	"2008"	1
"CA-907-834"	"TROOPER/(ALSEN/KEYSTONE)"	"WestBred"	2008	FALSE	"2008"	1
"CA-907-835"	"TROOPER/POLARIS"	"WestBred"	2008	FALSE	"2008"	1
"CA-908-801"	"GLENN/TROOPER"	"WestBred"	2009	FALSE	"2009"	1
"CA-908-802"	"GLENN/POLARIS"	"WestBred"	2009	FALSE	"2009"	1
"CA-908-869"	"KELBY/SAMSON"	"WestBred"	2009	FALSE	"2009"	1
"CA-908-870"	"KELBY/RUSH"	"WestBred"	2009	FALSE	"2009"	1
"CA-908-874"	"POLARIS/ALSEN"	"WestBred"	2009	FALSE	"2009"	1
"CA803-737"	"BEN/KOFA/898-782"	"WestBred"	2006	FALSE	"2006"	1
"CA806-804"	"TA/D88303//LAKER/3/FA898-787/4/LEBSOCK/5/PRIMODORO"	"WestBred"	2007	FALSE	"2007"	1
"CA806-805"	"BELZER//RUGBY/DURAKING/3/PRIMODORO"	"WestBred"	2007	FALSE	"2007"	1
"CA806-806"	"DURAKING/PRIMODORO"	"WestBred"	2007	FALSE	"2007"	1
"CA806-807"	"RUGBY/DURAKING//FA898-781"	"WestBred"	2007	FALSE	"2007"	1
"CA807-806"	"DURAKING/PRIMODORO"	"WestBred"	2008	FALSE	"2008"	1
"CA807-808"	"LEBSOCK/CA801-748"	"WestBred"	2008	FALSE	"2008"	1
"CA807-810"	"DURAKING/PRIMODORO"	"WestBred"	2008	FALSE	"2008"	1
"CI14371"	NA	"SDSU"	2000	FALSE	"2000"	1
"CROMWELL"	"MN95286/MN94155//VERDE"	"UMN"	2006	FALSE	"2006"	1
"D011501"	"SUMAI3/SCEPTRE//D88096"	"NDSU"	2001	FALSE	"2001"	1
"D011502"	"SUMAI3/SCEPTRE//D88816"	"NDSU"	2001	FALSE	"2001"	1
"D011503"	"SUMAI3/SCEPTRE//D88816"	"NDSU"	2001	FALSE	"2001, 2002"	2
"D011504"	NA	"NDSU"	2001	FALSE	"2001"	1
"D011505"	"BEN/RUGBY"	"NDSU"	2001	FALSE	"2001"	1
"D011506"	"SUMAI3/SCEPTRE/D88090"	"NDSU"	2001	FALSE	"2001"	1
"D011508"	"SUMAI3/SCEPTER//D88096"	"NDSU"	2003	FALSE	"2003"	1
"D011509"	"SUMAI3/SCEPTER//D88690"	"NDSU"	2003	FALSE	"2003"	1
"D011510"	"SUMAI3/SCEPTER//D88816"	"NDSU"	2003	FALSE	"2003"	1
"D011511"	"SUMAI3/SCEPTER//D88816"	"NDSU"	2003	FALSE	"2003"	1
"D011512"	"SCEPTRE/SUMAI3//SCEPTRE"	"NDSU"	2002	FALSE	"2002"	1
"D011515"	"WANGSHUIBAI/BEN//BEN"	"NDSU"	2002	FALSE	"2002"	1
"D011521"	"MEDORA//SUMAI3/MEDORA"	"NDSU"	2002	FALSE	"2002"	1
"D011525"	"SUMAI3/SCEPTER//D88816"	"NDSU"	2003	FALSE	"2003"	1
"D011527"	"LEBSOCK/LDN(DIC-3A)"	"NDSU"	2002	FALSE	"2002"	1
"D87-240"	"D7798/DT367"	"NDSU"	1995	FALSE	"1995, 1996, 1997"	3
"D901155"	NA	"NDSU"	1996	FALSE	"1996, 1997"	2
"D91103"	NA	"NDSU"	1996	FALSE	"1996"	1
"D940098"	NA	"NDSU"	1998	FALSE	"1998"	1
"D941229"	NA	"NDSU"	1998	FALSE	"1998"	1
"D941515"	NA	"NDSU"	1998	FALSE	"1998"	1
"D95565"	NA	"NDSU"	2000	FALSE	"2000"	1
"D96596"	NA	"NDSU"	2000	FALSE	"2000"	1
"D96622"	NA	"NDSU"	2000	FALSE	"2000"	1
"DG012166"	"MAIER/WB733"	"DG"	2005	FALSE	"2005, 2006"	2
"DG013141"	"BELZER/WB735"	"DG"	2004	FALSE	"2004, 2005, 2006"	3
"DG014152"	"MAIER/WB735"	"DG"	2004	FALSE	"2004"	1
"DH98031"	NA	"NDSU"	1999	FALSE	"1999"	1
"DH98052"	NA	"NDSU"	1999	FALSE	"1999"	1
"DH98053"	NA	"NDSU"	1999	FALSE	"1999"	1
"DH98069"	NA	"NDSU"	1999	FALSE	"1999, 2000"	2
"ES101"	"ES12/ES9"	"AAFC"	2007	FALSE	"2007"	1
"ES66"	"RL44522/FHB#37"	"AAFC"	2001	FALSE	"2001"	1
"FA-800-772"	"(RUGBY/DURAKING)/BELZER"	"WestBred"	2005	FALSE	"2005"	1
