YEAR	LOC	ENV	ISCK	FINAL_GENO_ID	DESIGNATION_C	NEW	GLOBAL	organization	SOURCE	YLD	TWT	HD	PH	LODG	PROT	TKW	First_Year_URN	
1968	BZM	BZM_68	TRUE	CHRIS	CHRIS	0	1	USDA-MN	MN	3087.2	76.1	40	119.38	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	ERA	0	1	0	USDA-MN	MN	4026.8	76.5	44	91.44	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	FLETCHER	0	1	0	USDA-MN	MN	3778.5	74.9	44	88.9	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	II-62-68	0	1	0	USDA-MN	MN	3825.5	76.5	44	88.9	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	JUSTIN	0	1	0	NDSU	ND	2691.3	75.1	42	119.38	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	K48-44	0	1	0	Canada	AAFC-CA	2637.6	73.9	41	119.38	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	M4-1	0	1	0	NDSU	ND	2825.5	75.3	41	119.38	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	M4-7	0	1	0	NDSU	ND	2463.1	73.9	41	121.92	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	MANITOU	0	1	0	Canada	AAFC-CA	3094	75.3	40	116.84	NA	NA	NA	1968	
1968	BZM	BZM_68	TRUE	MARQUIS	MARQUIS	0	1	Canada	AAFC-CA	2496.6	76	44	127	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	MT6610	0	1	0	MT	MT	3342.3	74.9	39	124.46	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	MT6661	0	1	0	MT	MT	3436.2	72.7	37	119.38	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	ND476	0	1	0	NDSU	ND	3751.7	74.4	42	88.9	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	ND481	0	1	0	NDSU	ND	3577.2	72.7	41	104.14	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	ND482	0	1	0	NDSU	ND	2838.9	74.8	41	121.92	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	NEEPAWA	0	1	0	Canada	AAFC-CA	2778.5	75.3	40	119.38	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	POLK	0	1	0	USDA-MN	MN	2879.2	78.2	43	119.38	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	RED_RIVER_68	0	1	0	World Seeds	PRIVATE	4201.3	81.3	37	96.52	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	RL4220	0	1	0	Canada	AAFC-CA	3463.1	75.6	41	127	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	S6579	0	1	0	USDA-ND	ND	3812.1	76.3	41	111.76	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	S659	0	1	0	USDA-ND	ND	3536.9	78.5	41	119.38	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	THATCHER	0	1	0	USDA-MN	MN	3167.8	74.1	40	116.84	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	WALDRON	0	1	0	NDSU	ND	3443	75.3	39	114.3	NA	NA	NA	1968	
1968	BZM	BZM_68	FALSE	WIS271	0	1	0	USDA-WIS	WIS	3355.7	73.1	39	88.9	NA	NA	NA	1968	
1968	CRK	CRK_68	TRUE	CHRIS	CHRIS	0	1	USDA-MN	MN	2583.9	79.6	34	104.14	4	NA	NA	1968	
1968	CRK	CRK_68	FALSE	ERA	0	1	0	USDA-MN	MN	3691.3	80.2	35	86.36	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	FLETCHER	0	1	0	USDA-MN	MN	2516.8	78.2	35	83.82	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	II-62-68	0	1	0	USDA-MN	MN	2912.8	80.2	36	83.82	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	JUSTIN	0	1	0	NDSU	ND	2429.5	76.3	34	104.14	3	NA	NA	1968	
1968	CRK	CRK_68	FALSE	K48-44	0	1	0	Canada	AAFC-CA	3302	76.9	32	109.22	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	M4-1	0	1	0	NDSU	ND	2201.3	76.9	34	106.68	3	NA	NA	1968	
1968	CRK	CRK_68	FALSE	M4-7	0	1	0	NDSU	ND	2463.1	75.6	32	109.22	3	NA	NA	1968	
1968	CRK	CRK_68	FALSE	MANITOU	0	1	0	Canada	AAFC-CA	2825.5	77.6	34	104.14	3	NA	NA	1968	
1968	CRK	CRK_68	TRUE	MARQUIS	MARQUIS	0	1	Canada	AAFC-CA	1456.4	74.9	35	109.22	3	NA	NA	1968	
1968	CRK	CRK_68	FALSE	MT6610	0	1	0	MT	MT	2644.3	76.9	30	101.6	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	MT6661	0	1	0	MT	MT	2469.8	72.3	30	101.6	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	ND476	0	1	0	NDSU	ND	2932.9	76.9	35	81.28	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	ND481	0	1	0	NDSU	ND	2536.9	73.6	34	91.44	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	ND482	0	1	0	NDSU	ND	2557	76.9	33	101.6	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	NEEPAWA	0	1	0	Canada	AAFC-CA	3489.9	79.6	32	106.68	3	NA	NA	1968	
1968	CRK	CRK_68	FALSE	POLK	0	1	0	USDA-MN	MN	2295.3	77.6	34	106.68	4	NA	NA	1968	
1968	CRK	CRK_68	FALSE	RED_RIVER_68	0	1	0	World Seeds	PRIVATE	3563.8	78.9	30	88.9	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	RL4220	0	1	0	Canada	AAFC-CA	1919.5	74.9	34	109.22	3	NA	NA	1968	
1968	CRK	CRK_68	FALSE	S6579	0	1	0	USDA-ND	ND	3510.1	76.9	32	101.6	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	S659	0	1	0	USDA-ND	ND	2885.9	76.9	33	106.68	3	NA	NA	1968	
1968	CRK	CRK_68	FALSE	THATCHER	0	1	0	USDA-MN	MN	2416.1	76.9	34	99.06	3	NA	NA	1968	
1968	CRK	CRK_68	FALSE	WALDRON	0	1	0	NDSU	ND	2946.3	75.6	32	99.06	2	NA	NA	1968	
1968	CRK	CRK_68	FALSE	WIS271	0	1	0	USDA-WIS	WIS	3785.2	76.9	32	81.28	2	NA	NA	1968	
1968	DSN	DSN_68	TRUE	CHRIS	CHRIS	0	1	USDA-MN	MN	2557	73.6	36	91.44	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	ERA	0	1	0	USDA-MN	MN	3194.6	81.6	37	78.74	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	FLETCHER	0	1	0	USDA-MN	MN	2892.6	77.6	38	71.12	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	II-62-68	0	1	0	USDA-MN	MN	2483.2	80.2	38	76.2	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	JUSTIN	0	1	0	NDSU	ND	2161.1	79.6	35	91.44	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	K48-44	0	1	0	Canada	AAFC-CA	2536.9	78.9	30	96.52	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	M4-1	0	1	0	NDSU	ND	2127.5	79.6	34	93.98	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	M4-7	0	1	0	NDSU	ND	2127.5	80.2	34	93.98	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	MANITOU	0	1	0	Canada	AAFC-CA	2355.7	78.2	35	88.9	NA	NA	NA	1968	
1968	DSN	DSN_68	TRUE	MARQUIS	MARQUIS	0	1	Canada	AAFC-CA	1778.5	78.2	33	81.28	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	MT6610	0	1	0	MT	MT	2563.8	80.9	33	101.6	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	MT6661	0	1	0	MT	MT	2208.1	79.6	26	91.44	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	ND476	0	1	0	NDSU	ND	3067.1	81.6	34	76.2	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	ND481	0	1	0	NDSU	ND	2416.1	79.6	32	81.28	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	ND482	0	1	0	NDSU	ND	2355.7	75.6	36	96.52	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	NEEPAWA	0	1	0	Canada	AAFC-CA	2624.2	79.6	33	96.52	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	POLK	0	1	0	USDA-MN	MN	2436.2	78.2	36	91.44	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	RED_RIVER_68	0	1	0	World Seeds	PRIVATE	2436.2	80.2	27	86.36	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	RL4220	0	1	0	Canada	AAFC-CA	2496.6	79.6	33	101.6	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	S6579	0	1	0	USDA-ND	ND	2704.7	78.9	30	91.44	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	S659	0	1	0	USDA-ND	ND	2731.5	75.6	35	93.98	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	THATCHER	0	1	0	USDA-MN	MN	1845.6	80.2	33	88.9	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	WALDRON	0	1	0	NDSU	ND	2664.4	75.6	29	91.44	NA	NA	NA	1968	
1968	DSN	DSN_68	FALSE	WIS271	0	1	0	USDA-WIS	WIS	2456.4	80.2	28	78.74	NA	NA	NA	1968	
1968	FRG	FRG_68	TRUE	CHRIS	CHRIS	0	1	USDA-MN	MN	3201.3	79.6	30	101.6	7.3	NA	NA	1968	
1968	FRG	FRG_68	FALSE	ERA	0	1	0	USDA-MN	MN	5067.1	81.6	34	83.82	1	NA	NA	1968	
1968	FRG	FRG_68	FALSE	FLETCHER	0	1	0	USDA-MN	MN	3765.1	78.2	34	83.82	1	NA	NA	1968	
1968	FRG	FRG_68	FALSE	II-62-68	0	1	0	USDA-MN	MN	3711.4	80.2	35	81.28	1	NA	NA	1968	
1968	FRG	FRG_68	FALSE	JUSTIN	0	1	0	NDSU	ND	2986.6	80.2	32	106.68	3.7	NA	NA	1968	
