"GID"	"INC"	"DIS"	"SEV"	"VSK"	"DON"	"HD"
"00H04J3"	27.5248	1.8666	6.0101	20.4575	1.982	175.2537
"00S0063-1"	59.462	6.548	10.9444	24.3208	8.695	166.8148
"00S0211-29-4"	55.2962	9.5905	17.1641	34.5895	12.6833	168.7117
"00S0240-3"	58.1045	12.1502	20.0796	34.002	6.6082	163.8148
"00S0244-23"	36.1379	3.1371	8.0613	37.5698	8.6899	167.262
"00S0249-9"	49.2401	5.7732	11.7335	22.6829	6.6082	165.8148
"00S0251-6"	45.07	4.3132	10.3077	21.2114	5.1581	165.7051
"00S0292-14"	68.3843	10.0084	16.003	39.6717	16.3371	171.9402
"00S0327-18"	49.2057	5.5565	6.4768	28.7749	7.1872	164.262
"01M88"	65.4764	10.0818	16.6281	49.2901	11.3356	173.8102
"01M96"	48.4099	9.3687	16.7955	35.3007	10.6366	169.8102
"01M97"	49.0433	7.2364	14.3067	43.3424	11.3461	167.954
"01M98"	66.9201	24.5403	26.1753	66.3465	12.3232	169.454
"01S0094-65"	56.4511	6.9085	11.9572	32.6271	7.5622	169.4955
"01S0099-8"	57.1338	2.5652	8.0611	21.0251	3.4445	168.1532
"01S0236-6"	53.0274	3.9065	11.3244	26.7605	6.5751	166.1342
"01S0263-29"	69.9406	5.9116	10.2532	24.2829	5.7087	167.134
"01S0335-4-3"	59.0269	8.59	17.0001	30.655	8.2414	161.7143
"01S0377-6"	63.8879	8.6073	13.2013	27.1342	7.7204	167.847
"01S0380-18"	65.7039	9.9399	14.5868	42.8813	9.9176	165.262
"02S0066-13"	55.6415	7.7544	14.8373	33.6753	12.0815	164.7976
"02S0091-9"	60.5368	8.398	12.603	39.0751	12.0328	167.7736
"02S0170-3"	53.9478	6.4098	11.432	26.0208	5.5685	165.4685
"02S0178-1"	58.6282	9.7135	14.7753	28.6319	7.5725	167.6212
"02S0208-22"	53.1782	6.7826	14.9117	27.7465	9.6239	163.9643
"02S0227-6"	55.981	4.3617	9.3881	24.6573	5.9881	165.8032
"03CBWA3-15"	54.499	2.8264	7.4433	18.6166	3.3039	171.1309
"03CBWC-21"	44.0264	1.1535	4.9465	19.9041	3.7702	168.7309
"03S0119-12"	64.5632	13.9953	18.9436	29.8317	8.3973	167.134
"03S0211-3"	58.9105	10.5006	14.8735	29.8461	6.6201	172.525
"03S0352-22"	39.7785	3.5675	8.5743	26.1865	5.0314	167.2798
"04S0196-1"	58.3235	9.355	14.8281	29.9145	5.8911	169.8584
"04S0202-1"	55.9206	6.908	11.6517	36.4619	6.0651	172.3028
"04S0209-4"	57.8269	9.8949	14.5077	33.3672	9.6839	172.9695
"04S0301-3"	57.809	5.1124	9.4423	28.578	6.1979	172.8028
"04V51A0498"	60.0017	6.4902	11.1355	14.4099	3.7678	173.6917
"05MSP5"	35.9974	4.8193	11.3621	18.9686	8.4164	172.4815
"05S0157-4"	43.476	3.2793	5.061	35.5078	9.2379	167.0525
"05S0242-6"	47.528	9.1689	16.4941	34.7362	12.2128	167.2797
"06MSP3"	56.119	13.6292	26.7662	51.6367	10.1579	165.1428
"06S0157-1"	55.081	5.4918	10.3218	28.3687	11.743	169.3525
"06S0327-1"	62.1202	10.8684	17.761	27.5429	5.9498	167.6161
"07S0018-2"	32.8219	3.4393	7.9821	23.912	7.5045	169.3422
"07S0027-3"	51.7245	6.8041	11.358	24.3138	5.9682	171.1756
"07S0068-11"	50.6621	6.5226	11.7667	28.2484	5.5384	173.7344
