GID	FIRST_YEAR	QTL.name	allele	SOURCE	ISCK	NURSERY	SET
00H04J3	2005	Fhb1	Res	AAFC-CA	FALSE	URN	POST1968
00H04J3	2005	Fhb5	Sus	AAFC-CA	FALSE	URN	POST1968
00H04J3	2005	Fhb5AS	Res	AAFC-CA	FALSE	URN	POST1968
00S0211-29-4	2007	Fhb5	Sus	PRIVATE	FALSE	URN	POST1968
00S0211-29-4	2007	Fhb1	Sus	PRIVATE	FALSE	URN	POST1968
00S0211-29-4	2007	Fhb5AS	Res	PRIVATE	FALSE	URN	POST1968
00S0292-14	2007	Fhb1	Res	PRIVATE	FALSE	URN	POST1968
00S0292-14	2007	Fhb5	Sus	PRIVATE	FALSE	URN	POST1968
00S0292-14	2007	Fhb5AS	Res	PRIVATE	FALSE	URN	POST1968
01S0094-65	2009	Fhb5AS	NA	PRIVATE	FALSE	URSN	POST1968
01S0094-65	2009	Fhb5	Unk	PRIVATE	FALSE	URSN	POST1968
01S0094-65	2009	Fhb1	Res	PRIVATE	FALSE	URSN	POST1968
01S0236-6	2007	Fhb1	Res	PRIVATE	FALSE	BOTH	POST1968
01S0236-6	2007	Fhb5	Unk	PRIVATE	FALSE	BOTH	POST1968
01S0236-6	2007	Fhb5AS	Unk	PRIVATE	FALSE	BOTH	POST1968
01S0263-29	2008	Fhb5AS	Sus	PRIVATE	FALSE	URN	POST1968
01S0263-29	2008	Fhb5	Sus	PRIVATE	FALSE	URN	POST1968
01S0263-29	2008	Fhb1	Res	PRIVATE	FALSE	URN	POST1968
01S0377-6	2007	Fhb5AS	Unk	PRIVATE	FALSE	BOTH	POST1968
01S0377-6	2007	Fhb5	Unk	PRIVATE	FALSE	BOTH	POST1968
01S0377-6	2007	Fhb1	Res	PRIVATE	FALSE	BOTH	POST1968
02S0091-9	2009	Fhb5	Unk	PRIVATE	FALSE	BOTH	POST1968
02S0091-9	2009	Fhb5AS	Unk	PRIVATE	FALSE	BOTH	POST1968
02S0091-9	2009	Fhb1	Sus	PRIVATE	FALSE	BOTH	POST1968
02S0170-3	2010	Fhb5	Unk	PRIVATE	FALSE	URN	POST1968
02S0170-3	2010	Fhb1	Sus	PRIVATE	FALSE	URN	POST1968
02S0170-3	2010	Fhb5AS	Unk	PRIVATE	FALSE	URN	POST1968
02S0178-1	2008	Fhb5AS	Unk	PRIVATE	FALSE	BOTH	POST1968
02S0178-1	2008	Fhb5	Unk	PRIVATE	FALSE	BOTH	POST1968
02S0178-1	2008	Fhb1	Res	PRIVATE	FALSE	BOTH	POST1968
03S0119-12	2009	Fhb5	Unk	PRIVATE	FALSE	BOTH	POST1968
03S0119-12	2009	Fhb1	Res	PRIVATE	FALSE	BOTH	POST1968
03S0119-12	2009	Fhb5AS	Unk	PRIVATE	FALSE	BOTH	POST1968
03S0211-3	2010	Fhb5	Unk	PRIVATE	FALSE	URSN	POST1968
03S0211-3	2010	Fhb5AS	NA	PRIVATE	FALSE	URSN	POST1968
03S0211-3	2010	Fhb1	Sus	PRIVATE	FALSE	URSN	POST1968
03S0352-22	2009	Fhb5	Unk	PRIVATE	FALSE	BOTH	POST1968
03S0352-22	2009	Fhb1	Unk	PRIVATE	FALSE	BOTH	POST1968
03S0352-22	2009	Fhb5AS	Unk	PRIVATE	FALSE	BOTH	POST1968
04S0196-1	2010	Fhb5	Unk	PRIVATE	FALSE	URSN	POST1968
04S0196-1	2010	Fhb5AS	NA	PRIVATE	FALSE	URSN	POST1968
04S0196-1	2010	Fhb1	Res	PRIVATE	FALSE	URSN	POST1968
04S0202-1	2010	Fhb5	Unk	PRIVATE	FALSE	URSN	POST1968
04S0202-1	2010	Fhb5AS	NA	PRIVATE	FALSE	URSN	POST1968
04S0202-1	2010	Fhb1	Res	PRIVATE	FALSE	URSN	POST1968
04S0209-4	2010	Fhb5AS	NA	PRIVATE	FALSE	URSN	POST1968
04S0209-4	2010	Fhb5	Unk	PRIVATE	FALSE	URSN	POST1968
04S0209-4	2010	Fhb1	Sus	PRIVATE	FALSE	URSN	POST1968
04S0301-3	2010	Fhb5AS	NA	PRIVATE	FALSE	URSN	POST1968
04S0301-3	2010	Fhb5	Unk	PRIVATE	FALSE	URSN	POST1968
04S0301-3	2010	Fhb1	Sus	PRIVATE	FALSE	URSN	POST1968
04V51A0498	2010	Fhb5	Unk	AAFC-CA	FALSE	URSN	POST1968
04V51A0498	2010	Fhb1	Res	AAFC-CA	FALSE	URSN	POST1968
04V51A0498	2010	Fhb5AS	NA	AAFC-CA	FALSE	URSN	POST1968
05MSP5	2006	Fhb5	Sus	PRIVATE	FALSE	BOTH	POST1968
05MSP5	2006	Fhb1	Sus	PRIVATE	FALSE	BOTH	POST1968
05MSP5	2006	Fhb5AS	Res	PRIVATE	FALSE	BOTH	POST1968
05S0157-4	2013	Fhb5	Res	PRIVATE	FALSE	URN	POST1968
05S0157-4	2013	Fhb5AS	Unk	PRIVATE	FALSE	URN	POST1968
05S0157-4	2013	Fhb1	Res	PRIVATE	FALSE	URN	POST1968
