"GID"	"YLD"	"PROT"	"TWT"	"HD"
"00S0211-29-4"	3817.8004	13.6185	79.3437	179.3165
"00S0292-14"	3691.4504	13.9835	79.7104	182.5742
"01M88"	3492.2267	13.1441	79.6003	183.0424
"01M96"	3360.2267	14.2388	82.0253	178.8757
"01M97"	3014.2272	14.3752	81.0414	177.5249
"01M98"	3450.0625	14.0085	78.3885	178.8106
"01S0236-6"	3173.0596	14.789	79.7736	178.5271
"01S0263-29"	3665.481	13.6835	78.0019	177.9994
"01S0377-6"	3466.439	14.3257	79.8925	179.5698
"02S0091-9"	3322.9131	13.8193	78.421	180.7432
"02S0170-3"	3364.5064	13.792	80.011	178.8125
"02S0178-1"	3436.6652	13.6813	80.3181	180.6771
"03S0119-12"	3558.2531	14.092	80.4776	180.1355
"03S0352-22"	3511.7264	13.9102	78.2176	180.3663
"05MSP5"	3324.0556	14.4179	80.6142	180.4832
"05S0157-4"	3651.4934	14.2978	80.337	179.8409
"05S0242-6"	3704.6934	14.0978	78.1279	180.0681
"06MSP3"	3582.1598	15.0335	79.0389	177.9491
"06S0157-1"	3676.2858	13.8089	78.1006	182.1409
"06S0327-1"	3696.9319	13.9311	80.2006	180.4045
"09FSP3"	3847.2864	13.292	79.8643	183.7048
"09S0306-24"	3415.2381	14.3899	79.0001	181.143
"09S0311-5"	3660.035	13.3518	78.898	180.4095
"10S0012-16"	3811.0208	14.17	79.648	179.5952
"10S0068-11"	3391.0714	14.2745	79.4376	181.1892
"10S0068-2"	3294.1228	14.7558	79.4725	180.6713
"10S0093-20"	3573.2493	14.0881	79.2551	180.0238
"10S0158-15"	3717.2647	14.0668	80.5189	181.2892
"10S0176-18"	3646.5647	13.9822	80.4939	180.1661
"14X111-106-3"	3507.5394	14.0412	80.8462	183.1995
"16BCS0001"	3580.5241	13.9453	79.7579	178.2189
"17BCS01"	3628.8154	13.9579	78.0895	179.1381
"17BCS02"	3586.8737	12.1801	77.9395	182.8238
"17BCS03"	3747.9487	13.4801	78.2729	183.2238
"17BCS04"	3624.3404	13.9801	79.2312	179.1238
"18BCS01"	3617.0381	14.0437	80.6501	177.7969
"18BCS02"	3692.6514	13.6053	79.8501	182.5661
"18BCS03"	3691.2981	14.3437	80.3939	183.0661
"18BCS04"	3992.4114	13.4899	78.7689	184.8584
"18BCS05"	3723.5247	13.3053	78.4626	183.7199
"21NP005734"	3533.7351	13.5261	78.8715	179.7071
"21NP005739"	3775.8351	13.8594	78.8144	181.8763
"21NP005744"	3380.3423	13.6678	78.543	180.4225
"21NP005782"	3613.4623	13.8755	78.6536	181.6695
"22NP900043"	3533.5341	13.4855	78.2263	181.9995
"22NP900045"	3839.8159	13.5555	78.2718	180.9495
"22NP900047"	3909.0854	13.1432	77.7299	182.0954
"22NP900048"	3853.9415	13.5128	78.5549	181.143
"2370"	3118.2885	NA	78.787	179.6063
"2375"	3424.3519	13.8705	79.6951	180.2764
"2385"	2869.0865	NA	77.2256	178.8471
"8601AE3C"	2775.6347	NA	80.0633	186.3376
"9023-FM04C"	3475.4366	12.0992	77.0917	182.4854
"960404-03"	3601.2946	13.7761	79.4004	180.0577
"96S0356-15"	3427.8683	13.6501	80.6724	178.7452
"96S0404-03"	3531.9271	13.7572	79.6724	179.9386
"97S0254-8-1"	3483.0546	14.4165	77.9728	183.8926
"98S0051-1"	3494.2521	13.9772	79.2724	181.3386
"98S0051-1-14"	3659.0706	13.917	80.4742	179.4832
"98S0113-20"	3414.3603	14.5398	80.9451	178.7316
"98S0113-20-23"	3379.9956	14.9143	80.6242	177.761
"98S0191-22-2"	3009.0499	14.097	78.8727	179.7391
"98S0191-60-8"	3300.3452	13.9481	78.4199	181.4871
"98T311"	3116.327	13.9836	77.5021	182.9201
"98T379"	3308.6064	13.2563	77.9771	184.5534
"99S0006-2"	3421.8946	13.7341	78.9731	179.7874
"99S0051-3-1"	3560.9946	13.9613	77.7856	182.1446
"99S0362-21"	3417.3556	14.1089	80.6792	179.9276
"AAC_HODGE"	3638.255	14.38	80.0253	180.3189
"AAC_SPIKE"	3589.5966	14.38	79.6022	179.3826
"AAC_WESTKING"	3830.0216	14.1877	79.356	181.8917
"AACBRANDON"	3491.7433	14.4687	79.48	181.3514
"AC-MAJESTIC"	3025.8356	14.9017	78.4105	182.9858
"AC-MINTO"	2693.1104	NA	75.954	182.9218
"ACBARRIE"	3007.4068	NA	79.5451	179.5724
"ACCORA"	3207.74	NA	79.0522	181.7483
"ADA"	3323.7917	14.3745	80.9052	180.1201
"ADVANCE"	3436.5597	13.5556	80.3843	180.9278
"ALEX"	3075.3484	NA	79.3445	182.1593
"ALSEN"	3205.4511	14.6876	80.2252	181.101
"AMIDON"	3349.0883	NA	78.198	181.314
